대우,,,,NNP,*,F,대우,*,*,*,*,*
구글,,,,NNP,*,T,구글,*,*,*,*,*
질병관리본부,,,,NNP,*,F,질병관리본부,*,*,*,*,*
국민건강보험공단,,,,NNP,*,T,국민건강보험공단,*,*,*,*,*
질병관리청,,,,NNP,*,T,질병관리청,*,*,*,*,*
건강검진,,,,NNP,*,T,건강검진,*,*,*,*,*
RS바이러스 감염증,,,,NNP,*,T,RS바이러스 감염증,*,*,*,*,*
각막염,,,,NNP,*,T,각막염,*,*,*,*,*
간농양,,,,NNP,*,T,간농양,*,*,*,*,*
감염성 근육염,,,,NNP,*,T,감염성 근육염,*,*,*,*,*
감염성 단핵구증,,,,NNP,*,T,감염성 단핵구증,*,*,*,*,*
감염성 홍반,,,,NNP,*,T,감염성 홍반,*,*,*,*,*
거대세포 바이러스 질환,,,,NNP,*,T,거대세포 바이러스 질환,*,*,*,*,*
결핵성 수막염,,,,NNP,*,T,결핵성 수막염,*,*,*,*,*
결핵성 임파선염,,,,NNP,*,T,결핵성 임파선염,*,*,*,*,*
경부 림프절염,,,,NNP,*,T,경부 림프절염,*,*,*,*,*
곰팡이 감염,,,,NNP,*,T,곰팡이 감염,*,*,*,*,*
광견병,,,,NNP,*,T,광견병,*,*,*,*,*
구순포진,,,,NNP,*,T,구순포진,*,*,*,*,*
급성 바이러스성 간염,,,,NNP,*,T,급성 바이러스성 간염,*,*,*,*,*
급성 위장염,,,,NNP,*,T,급성 위장염,*,*,*,*,*
급성 질염,,,,NNP,*,T,급성 질염,*,*,*,*,*
기쿠치병,,,,NNP,*,T,기쿠치병,*,*,*,*,*
난소난관염,,,,NNP,*,T,난소난관염,*,*,*,*,*
노로바이러스 장염,,,,NNP,*,T,노로바이러스 장염,*,*,*,*,*
노카르디아증,,,,NNP,*,T,노카르디아증,*,*,*,*,*
뇌염,,,,NNP,*,T,뇌염,*,*,*,*,*
단독,,,,NNP,*,T,단독,*,*,*,*,*
대상포진,,,,NNP,*,T,대상포진,*,*,*,*,*
대상포진 후 신경통,,,,NNP,*,T,대상포진 후 신경통,*,*,*,*,*
대장균 감염,,,,NNP,*,T,대장균 감염,*,*,*,*,*
뎅기열,,,,NNP,*,T,뎅기열,*,*,*,*,*
돌발성 발진,,,,NNP,*,T,돌발성 발진,*,*,*,*,*
두부 백선,,,,NNP,*,T,두부 백선,*,*,*,*,*
두통,,,,NNP,*,T,두통,*,*,*,*,*
라싸열,,,,NNP,*,T,라싸열,*,*,*,*,*
레지오넬라증,,,,NNP,*,T,레지오넬라증,*,*,*,*,*
렙토스피라증,,,,NNP,*,T,렙토스피라증,*,*,*,*,*
리스테리아,,,,NNP,*,F,리스테리아,*,*,*,*,*
마버그열,,,,NNP,*,T,마버그열,*,*,*,*,*
만성 C형 간염,,,,NNP,*,T,만성 C형 간염,*,*,*,*,*
말라리아,,,,NNP,*,F,말라리아,*,*,*,*,*
매독,,,,NNP,*,T,매독,*,*,*,*,*
메리오이드증,,,,NNP,*,T,메리오이드증,*,*,*,*,*
무른 궤양,,,,NNP,*,T,무른 궤양,*,*,*,*,*
바이러스성 뇌수막염,,,,NNP,*,T,바이러스성 뇌수막염,*,*,*,*,*
박테리아성 뇌수막염,,,,NNP,*,T,박테리아성 뇌수막염,*,*,*,*,*
반코마이신 내성 장알균,,,,NNP,*,T,반코마이신 내성 장알균,*,*,*,*,*
반코마이신 내성 황색포도알균,,,,NNP,*,T,반코마이신 내성 황색포도알균,*,*,*,*,*
발진티푸스,,,,NNP,*,F,발진티푸스,*,*,*,*,*
방선균증,,,,NNP,*,T,방선균증,*,*,*,*,*
베게너 육아종증,,,,NNP,*,T,베게너 육아종증,*,*,*,*,*
병원 감염성 폐렴,,,,NNP,*,T,병원 감염성 폐렴,*,*,*,*,*
보툴리눔독소증,,,,NNP,*,T,보툴리눔독소증,*,*,*,*,*
브루셀라증,,,,NNP,*,T,브루셀라증,*,*,*,*,*
사면발이증,,,,NNP,*,T,사면발이증,*,*,*,*,*
사카자키균 감염증,,,,NNP,*,T,사카자키균 감염증,*,*,*,*,*
사타구니 백선,,,,NNP,*,T,사타구니 백선,*,*,*,*,*
상기도 감염,,,,NNP,*,T,상기도 감염,*,*,*,*,*
샅육아종,,,,NNP,*,T,샅육아종,*,*,*,*,*
서혜육아종,,,,NNP,*,T,서혜육아종,*,*,*,*,*
샤가스병,,,,NNP,*,T,샤가스병,*,*,*,*,*
코로나 바이러스,,,,NNP,*,F,코로나 바이러스,*,*,*,*,*
선모충증,,,,NNP,*,T,선모충증,*,*,*,*,*
성병,,,,NNP,*,T,성병,*,*,*,*,*
성홍열,,,,NNP,*,T,성홍열,*,*,*,*,*
세균성 이질,,,,NNP,*,T,세균성 이질,*,*,*,*,*
소아마비,,,,NNP,*,F,소아마비,*,*,*,*,*
속립성 결핵,,,,NNP,*,T,속립성 결핵,*,*,*,*,*
수두,,,,NNP,*,F,수두,*,*,*,*,*
수족구병,,,,NNP,*,T,수족구병,*,*,*,*,*
슈도모나스 감염,,,,NNP,*,T,슈도모나스 감염,*,*,*,*,*
스파르가눔증,,,,NNP,*,T,스파르가눔증,*,*,*,*,*
신생아 괴사성 장염,,,,NNP,*,T,신생아 괴사성 장염,*,*,*,*,*
신종 플루,,,,NNP,*,F,신종 플루,*,*,*,*,*
신증후성 출혈열,,,,NNP,*,T,신증후성 출혈열,*,*,*,*,*
심내막염,,,,NNP,*,T,심내막염,*,*,*,*,*
아메바성 이질,,,,NNP,*,T,아메바성 이질,*,*,*,*,*
아스페르길루스증,,,,NNP,*,T,아스페르길루스증,*,*,*,*,*
에볼라 출혈열,,,,NNP,*,T,에볼라 출혈열,*,*,*,*,*
옻 중독,,,,NNP,*,T,옻 중독,*,*,*,*,*
요충증,,,,NNP,*,T,요충증,*,*,*,*,*
용혈성 요독 증후군,,,,NNP,*,T,용혈성 요독 증후군,*,*,*,*,*
원인을 알 수 없는 열,,,,NNP,*,T,원인을 알 수 없는 열,*,*,*,*,*
원충성 질환,,,,NNP,*,T,원충성 질환,*,*,*,*,*
웨스트나일열,,,,NNP,*,T,웨스트나일열,*,*,*,*,*
위장관 결핵,,,,NNP,*,T,위장관 결핵,*,*,*,*,*
유행성 이하선염,,,,NNP,*,T,유행성 이하선염,*,*,*,*,*
인유두종 바이러스 감염증,,,,NNP,*,T,인유두종 바이러스 감염증,*,*,*,*,*
인플루엔자,,,,NNP,*,F,인플루엔자,*,*,*,*,*
자궁경부염,,,,NNP,*,T,자궁경부염,*,*,*,*,*
장출혈성 대장균 감염증,,,,NNP,*,T,장출혈성 대장균 감염증,*,*,*,*,*
장티푸스,,,,NNP,*,F,장티푸스,*,*,*,*,*
조갑주위염,,,,NNP,*,T,조갑주위염,*,*,*,*,*
조류 인플루엔자,,,,NNP,*,F,조류 인플루엔자,*,*,*,*,*
중동 호흡기 증후군,,,,NNP,*,T,중동 호흡기 증후군,*,*,*,*,*
중증 급성 호흡기 증후군,,,,NNP,*,T,중증 급성 호흡기 증후군,*,*,*,*,*
증상이 없는 HIV 감염,,,,NNP,*,T,증상이 없는 HIV 감염,*,*,*,*,*
지역사회성 폐렴,,,,NNP,*,T,지역사회성 폐렴,*,*,*,*,*
지카 바이러스 감염증,,,,NNP,*,T,지카 바이러스 감염증,*,*,*,*,*
첨형 콘딜로마,,,,NNP,*,F,첨형 콘딜로마,*,*,*,*,*
치쿤구니야열,,,,NNP,*,T,치쿤구니야열,*,*,*,*,*
