,name,date,content
0,"샐러드 먼저, 밥 나중에… 순서만 바꿔도 살 빠진다",2020.12.10,"체중 관리를 해야 하는데 운동하거나 식사량을 줄이기 어렵다면 먹는 순서를 바꿔보자. 식이섬유가 많이 든 음식을 먼저 먹고, 밥과 같은 탄수화물은 나중에 먹는 식이다. 특히 기초대사량이 줄어 살찌기 쉬운 중장년층이나 쉽게 허기져 군것질을 자주 하는 사람이 시도하면 좋다.식이섬유 풍부한 반찬 먼저 소화되는 데 오랜 시간이 걸리는 식이섬유를 먼저 먹으면 혈당이 급격히 올라가는 현상을 막을 수 있다. 혈당이 천천히 올라야 쉽게 허기지지 않는다. 배고프지 않아도 음식을 찾는 일이 줄어들기 때문에 식사량을 줄이는 데도 도움이 된다. 또한 식이섬유가 많이 들어 있는 채소는 오랫동안 씹어야 삼키기 편한데, 씹는 횟수가 많아질수록 포만감을 느끼는 중추가 자극된다. 김치·장아찌와 같은 반찬에도 식이섬유가 함유됐지만, 고염도이기 때문에 간이 약한 나물무침·샐러드 등 저염도 반찬을 먹는 것이 좋다.콩·두부를 생선·육류보다 먼저 탄수화물을 먹기 전에 단백질 식품을 먹으면 탄수화물이 몸속에 들어와 당으로 변했을 때 지방으로 쌓이는 대신 에너지로 소비되는 효과가 있다. 또한 단백질은 탄수화물보다 지방으로 잘 변하지 않고, 포만감을 더 오래 느끼게 한다. 다이어트할 때 근육이 줄어드는 것도 막기 때문에 챙겨 먹어야 하는 영양소다. 특히 콩류와 같은 식물성 단백질을 섭취하면 생선·육류 등 동물성 단백질을 먹을 때보다 혈당이 천천히 오르는 효과가 있다. 식물성 단백질을 먼저 먹으면 좋고, 생선·육류는 불필요한 지방 섭취를 줄이도록 기름에 굽거나 튀기는 조리법 대신 삶거나 쪄서 먹는다.정제 탄수화물은 가장 마지막 밥·면·빵 등 정제된 탄수화물은 섭취 시 다른 영양소에 비해 혈당이 급격히 오르기 때문에 식사 시 가장 나중에 먹는다. 혈액 속 포도당이 갑자기 많아지면, 세포 내로 흡수되지 못하고 남은 당이 체지방으로 변하기 쉽다. 체지방이 쌓이면 내장지방도 늘어나 겉보기에 복부가 뚱뚱해질 뿐 아니라 지방산으로 인해 각종 장기에 악영향을 미치게 된다. 따라서 식이섬유와 단백질 식품을 먼저 먹고, 마지막으로 밥·빵·면 등 탄수화물 비율이 높은 식품을 섭취하면 탄수화물 섭취량을 최대한 줄일 수 있다."
1,나도 혹시 거북목? 자가진단법 5가지,2020.12.10,"코로나19로 인해 비대면 활동이 활성화되면서 '스마트폰'과 'PC' 사용량이 늘고 있다. 이럴수록 우리 '목'은 고통받는다. 바르지 못한 자세로 스마트폰이나 PC를 오래 사용하는 중엔 목에 막중한 부담이 가해지기 때문이다. 국내 목 통증을 겪는 환자 수는 지난 2011년 92만3906명에서 2019년 143만704명으로 54% 증가했을 만큼 빠르게 늘고 있다(건강보험심사평가원). 일산백병원 재활의학과 김지용 교수의 도움말로 목 건강에 대한 궁금증을 풀어본다.Q. 목에 좋지 못한 자세는? -거북이 목과 같이 고개를 앞으로 뺀 자세, 과도하게 고개를 숙인 자세, 의자에 앉은 상태에서 목을 지나치게 꺾은 채로 잠이 든 자세가 목에 좋지 않은 대표적인 자세다. 김지용 교수는 ""이런 자세를 지속하면 목에 통증이 생기면서 목 디스크 발생 위험도 높아진다""고 말했다.Q. 좋지 않은 자세가 유발하는 부작용은? -정상적인 목뼈는 똑바로 선 자세에서 앞면이 볼록한 자연스러운 'C자' 곡선을 이룬다. 목에 좋지 않은 자세를 지속하면 목의 곡선이 소실돼 옆에서 봤을 때 목이 일자 모양이거나 심할 경우 거꾸로 된 C자로 변형된다. 이를 거북목 또는 일자목이라고 한다. 김지용 교수는 ""목의 곡선이 소실되면 처음에는 뒷목과 양쪽 어깨가 뻐근하고 아프며 근육이 자주 뭉친다""며 ""뒤통수 부위에 찌릿한 통증이 자주 발생하고, 만성두통이 생기면서 쉽게 피로해질 수도 있다""고 말했다.Q. 목 통증을 예방하는 자세는? -목 통증을 예방하는 자세는 턱을 내리고 머리를 추어올려 되도록 목과 머리가 일직선상에 있도록 하는 자세다. 오래 같은 자세를 유지하지 말고, 목의 충분한 가동범위를 유지하는 것도 중요하다. 엎드려 자는 자세도 피해야 한다. 바로 누웠을 때는 되도록 낮은 베개를 사용해 경추가 흉추와 일직선상에 있게 하고, 옆으로 누운 경우엔 베개를 좀 높게 해 경추가 일직선상에 있게 한다. 운전을 하는 등 의자에 앉을 때는 되도록 등받이가 긴 의자를 사용해 머리 받침대를 자주 활용한다. 평소에 목 근육 강화훈련을 하는 것도 좋다.Q. 집에서 쉽게 할 수 있는 거북목 자가진단법은? -다섯 가지를 증상의 유무를 확인해보면 된다. ▲어깨와 목 주위가 뻐근하다 ▲옆에서 보면 고개가 어깨보다 앞으로 빠져나와 있다 ▲등이 굽어 있다 ▲쉽게 피로하고 두통이 있으며 어지럼증을 느낀다 ▲잠을 자도 피곤하고 목덜미가 불편하다."
2,"대웅제약 ‘나보타’, 대상포진 후 신경통증 감소 효과 입증",2020.12.09,"대웅제약은 보툴리눔 톡신 제제 ‘나보타’의 대상포진 후 신경통증에 대한 효과가 ‘베트남 의학저널(Vietnam Medical Journal)’에 게재됐다고 9일 밝혔다. 이번 연구는 베트남 국립 피부과 병원 덩 빅 지엡교수가 베트남 현지 환자를 대상으로 진행했다. 연구진은 대상포진 후 신경통증 환자 30명을 두 집단으로 무작위 배정하고 나보타 투여 시 효과와 대조군으로 국소마취제인 리도카인 투여 시 효과를 각각 비교했다. 나보타 투여군은 나보타를 2.5U/0.1ml로 희석해 통증부위 당 1~2cm 간격으로 0.1ml씩 주사했고, 리도카인 투여군은 통증부위 당 0.1ml의 리도카인을 투여했다. 주사 후에는 환자들의 통증개선 정도를 평가하기 위해 VAS(Visual Analogue Scale, 시각아날로그척도)를 사용해 주사 후 4개월까지의 경과를 관찰했다. 추가적으로 환자의 수면의 질과 만족도 평가도 함께 진행했다. 연구 결과 두 집단 모두 주사 후 1주차 환자의 통증 정도가 통계적으로 유의미하게 감소했으며, 나보타 투여군은 주사 후 4개월차까지 통증감소효과가 지속적으로 유지됐다. 반면, 리도카인 투여군은 주사 1개월 후 통증이 다시 악화됐다. 수면의 질 측면에서도 나보타 투여군은 주사 후 1주차부터 통계적으로 유의미한 수준으로 개선됐으며 4개월차까지 효과가 지속됐다. 환자 만족도 또한 나보타 투여군이 리도카인 투여군보다 높은 것으로 나타났다. 약물 관련 심각한 이상반응은 보고되지 않았다. 대웅제약 박성수 나보타 사업본부장은 “이번 연구는 나보타가 발매된 해외 국가에서 현지 연구진이 직접 주도한 것으로, 글로벌 보툴리눔 톡신 브랜드로서 나보타의 입지를 보여주는 계기가 됐다”며 “앞으로도 다양한 연구 활동을 통해 나보타의 우수성을 세계적으로 알려나가겠다”고 말했다."
3,"윤대원 일송학원 이사장, 웁살라대학교 린네 금메달 수상",2020.12.09,"학교법인 일송학원 윤대원 이사장이 스웨덴 웁살라대학교가 주관하는 ‘린네 메달(Linnaeus Medal)’ 시상식에서 금메달 수상자로 선정됐다. 린네 메달은 식물학의 시조로 불리는 생물학자 ‘칼 폰 린네(Carl Linnaeus)’ 탄생 300주년을 기리는 의미로 제정된 상이다. 웁살라대학교는 2007년 5월 첫 시상 이후로 매년 과학 분야에서 우수한 업적을 거둔 인물에게 린네 메달을 수여했다. 그동안 노벨물리학상 수상자 미셸 마이어 교수, 언어학자 노엄 촘스키 교수, 칼 구스타프 16세 스웨덴 국왕, 코피 아난 전 유엔 사무총장 등이 린네 금메달을 받았으며, 윤대원 이사장은 2020년 수상자다. 웁살라대학교는 윤대원 이사장이 2008년부터 매년 한림대의료원과 웁살라대학교의 공동 심포지엄을 이끌며, 한국과 유럽 간 기초·임상연구 학술교류 기회를 만들고 세계적인 네트워크로 확대하는 데 공헌한 것을 높이 평가했다. 윤대원 이사장은 학술교류 이외에도 ▲한림-웁살라 해외거점연구센터 ▲한림대의료융합센터 ▲한림대의료원 의료인공지능센터 등 세계적 수준의 연구소를 세워 인재양성과 의과학 발전에 크게 기여했다. 1477년에 설립된 웁살라대학교는 역사와 전통을 자랑하는 유럽의 명문 교육기관이다. 웁살라대학교는 특히 기초와 임상을 연계하는 중개의학연구 분야에서 세계적인 권위를 가진 곳으로 잘 알려져 있으며, 다수의 노벨상 수상자를 배출하기도 했다."
4,"초고해상 MRI用 마그넷, 가천브레인밸리 도착… 시스템 조립 착수",2020.12.09,"가천대 길병원은 극초고해상도 11.74T MRI 시스템 개발의 핵심 부품 ‘마그넷(Magnet)’이 지난 8일 송도 가천브레인밸리 내 가천대 길병원 뇌질환센터에 도착했다고 밝혔다. 극초고자장 마그넷은 가천대 길병원과 마그넷 주문제작사 이탈리아 ASG슈퍼콘덕터스가 이탈리아 현지에서 2018년 말 제작·발표한 것으로, 앞서 가천대 길병원은 지난 10월 18일 이탈리아 제노아에서 선적된 11.74T 마그넷이 부산항을 거쳐, 가천브레인밸리에 안착했다고 밝힌 바 있다. 마그넷은 이날 가천브레인밸리 내 뇌질환센터 지하2층 11.74T MRI 연구실로 옮겨졌다. 가천대 길병원 이태훈 의료원장과 김양우 병원장, 김우경 진료대외부원장 겸 연구부원장, 정명희 가천대 뇌과학연구원장, 알베르토 오타치, 데니스 리차드 앳킨스 ASG사 엔지니어 등이 참석해, 마그넷 이동·안착 과정을 지켜봤다. 추후 마그넷은 헬륨을 이용한 초전도화 과정과 경사자장 코일, RF 코일, 전자장비, 전원장치 등과 조립하는 과정 등을 거쳐 이미지를 얻을 수 있는 장비로 거듭나게 된다. 내년 중순 이후 시스템 가동을 목표로 한다. 11.74T MRI로 뇌 영상 이미지를 획득할 경우, 이 영상은 가천대 길병원이 연구용으로 획득한 7.0T보다 100배, 현재 상용화된 3T MRI보다 약 1만배가량 선명한 해상도가 예상된다. 초고해상도 영상 이미지는 파킨슨, 알츠하이머 치매, 뇌졸중 등 난치성 뇌질환 조기 진단·치료와 신약개발 등을 연구하는 데 획기적인 전환점을 마련할 것으로 기대된다. 가천대 길병원은 2014년 뇌질환 진단기술 플랫폼 구축을 목표로 보건복지부 연구중심병원 육성 R&D 사업 기관으로 선정됐으며, 관련 연구 개발을 수행하고 있다. 11.74T MRI 시스템 개발은 기존 7.0T MRI보다 선명한 뇌영상 이미지를 얻기 위한 것으로, 미국 국립보건원(NIH)에 이어 세계 두 번째로 시도되고 있다. 김양우 병원장은 “마그넷을 주문 제작해 한국으로 잘 운반해 준 ASG사에 감사하다”며 “11.74T MRI 시스템 개발은 한국 뇌과학 수준을 세계적으로 발전시키고 전 세계 뇌질환 환자 치료를 위한 중요한 성과가 될 것이라고 확신한다”고 말했다."
5,코로나 국내 신규 686명… 국내발생 662명·해외유입 24명,2020.12.09,"코로나19 국내 확진자 수가 전날 대비 686명 늘었다. 질병관리청 중앙방역대책본부는 9일 0시 기준 국내 코로나19 누적 확진자는 3만9432명이며, 이 중 3만177명(76.53%)이 격리해제됐다고 밝혔다. 위·중증 환자는 149명이며, 사망자는 4명으로 누적 사망자는 556명(치명률 1.41%)이다. 신규 확진 중 국내 발생은 662명이다. 지역별로 서울 264명, 경기 214명, 인천 46명, 경남 31명, 충북 23명, 부산 20명, 울산 14명, 전북 12명, 대전 10명, 광주 9명, 강원·충남 각 4명, 경북·대구 각 3명, 전남 2명, 세종 1명이다. 해외 유입 확진은 24명이다. 9명은 검역 단계에서 발견됐고, 나머지 15명은 서울 6명, 경기 4명, 인천 2명, 강원·충북·경북 각 1명으로 확인됐다. 유입 대륙별 해외 유입 확진자 수는 아메리카 11명, 유럽 8명, 중국 외 아시아 5명 순으로 많았다."
6,'알코올 중독'의 위험성… 어디까지 아세요?,2020.12.09,"연말에는 없던 술자리도 만들어 송년회를 즐기는 사람이 많다. 올해는 코로나19 때문에 각종 회식·모임이 사라졌지만, 여전히 음주 계획을 세우는 사람들이 있다. 하지만 잘못된 음주습관은 알코올 중독으로 이어질 수 있어 주의가 필요하다.◇의지대로 줄이지 못하면 알코올 중독 알코올 중독은 알코올 섭취 과다로 부작용을 겪는데도 의지대로 끊지 못하는 것을 말한다. 대부분 마시는 술의 양이나 횟수가 많으면 알코올 중독이라고 생각하는데 그렇지 않다. 정확한 진단 기준은 다음 11가지 항목 중 2가지 이상에 해당되는지 여부를 확인하면 된다. 항목은 다음과 같다. ▲종종 술을 의도했던 것보다 많은 양, 오랜 기간 마심 ▲술 마시는 양을 줄이거나 조절하려는 욕구가 있고 노력했지만 실패함 ▲술을 구하거나 마시기 위해 많은 시간을 보냄 ▲술에 대한 강한 욕구가 있음 ▲술을 반복적으로 마셔 직장, 학교, 가정 등에서 문제가 발생함 ▲술로 인해 대인관계 등에 문제가 생기고 악화되지만 술을 끊지 못함 ▲술로 인해 직업활동, 여가활동을 포기하거나 줄임 ▲술로 인해 건강이 나빠짐에도 끊지 못함 ▲술로 인해 신체적, 심리적 문제가 생기고 악화될 가능성을 알지만 끊지 못함 ▲갈수록 많은 양을 마셔야 만족하는 등 내성이 생김 ▲금단 증상이 나타남.◇갑자기 끊으면 경련 일고, 귀신 보기도 알코올 중독 환자는 각종 금단 현상을 겪을 수 있다. 가벼우면 약간의 불안증, 땀 흘림, 손 떨림을, 심하면 몸 경련까지 겪는다. 자꾸 무언가를 착각하고 귀신이 보이는 등의 환시가 나타나는 진전섬망(振顫譫妄)이 발생할 수도 있다. 진전섬망은 알코올 금단 증상의 가장 심한 형태다. 알코올 중독 환자의 0.5~5%가 진전섬망으로 사망한다. 술을 끊었을 때 금단 증상이 생기는 이유는 뇌의 신경체계에 혼란이 생기기 때문이다. 알코올은 뇌의 신경전달물질 도파민 분비량을 늘리기 때문에 알코올 중독 환자는 도파민 분비량이 많은 것에 적응한 상태다. 갑자기 술을 끊어 신경전달물질 작용에 혼란이 생기면 신체 각 부위에 이상이 생긴다.◇알코올로 사망하는 경우 크게 3가지 알코올 중독으로 사망하는 경우는 크게 3가지로 나뉜다. 하나는 혈중 알코올농도가 너무 높아지면서 호흡 근육에 마비가 와 숨을 못 쉬어 사망하는 것이다. 혈중알코올농도가 0.5% 이상으로 높아지면 호흡과 심박동을 관장하는 뇌 중추가 마비된다. 술 마시고 취한 채로 야외에 잠들었다가 추위 등으로 객사할 위험도 있다. 마지막으로 알코올 과량 섭취로 구토를 하는 경우가 있는데, 인사불성인 상황에서는 토를 해도 입안에 그대로 담고 있고, 결국 기도를 막을 수 있어 사망할 수 있다. 알코올 중독이 각종 질환 위험을 높이기도 한다. 위염, 위궤양, 췌장염이 발생할 확률이 높아지고, 간 기능이 떨어진다. 심장근육이 약화돼 돌연사하거나, 암에 걸릴 위험도 높아진다. 남성은 여성호르몬이 증가돼 성욕이 감퇴하고 발기부전을 겪기도 한다.◇술에 대한 갈망감 줄이는 약물로 치료 알코올 중독 치료 방법은 크게 정신 치료법과 약물 치료법으로 나뉜다. 정신 치료에는 술을 끊고 싶게 하는 동기유발 치료, 상담 등이 포함된다. 약물 치료에는 대표적으로 ‘날트렉손(Naltrexone)’ ‘아캄프로세이트(Acamprosate)’ 두 가지 약물이 쓰인다. 날트렉손은 뇌의 보상회로를 차단한다. 술을 마셔도 기존만큼의 즐거움을 느끼지 못하는 것이다. 아캄프로세이트는 술을 마시지 않았을 때 나타나는 술에 대한 갈망감, 불안감 등을 줄인다. 하지만 의사가 약을 처방해도 먹지 않는 환자들이 있다. 이때는 입원이 필요하다. 환자에게 치료에 대한 명확한 동기 부여를 하기 위해서도 입원이 필요할 수 있다. 술에 계속 취해 있으면 치료의 필요성을 이해하지 못하기 때문이다. 병원에 입원해서 술 섭취를 차단하고 정신이 맑을 때 치료 동기에 대해 설명해야 한다. 심장, 간 질환이 있어 술을 반드시 끊어야 하는데 그러지 못하는 사람도 입원 치료를 고려한다."
7,"18세부터 노화하는 디스크, '등 근육'이 중요합니다",2020.12.09,"척추는 우리 몸을 지탱하는 기둥 역할을 한다. 33개의 척추뼈로 구성되고 보통 목뼈로 불리며 머리를 받치는 ‘경추(7개)’와 등뼈로 갈비뼈와 연결되는 ‘흉추(12개)’, 허리뼈로 불리는 ‘요추(5개)’, 골반과 연결되는 엉치뼈 ‘천추(5개)’, 꼬리뼈로 불리는 ‘미추(4~5개)’로 나뉜다.척추는 나이가 들면 노화되고 병든다. 이를 퇴행성 척추변형이라고 한다.◇노화하면서 나타나는 퇴행성 척추변형 ‘퇴행성 척추변형’은 척추뼈 사이 추간판의 수핵이 탈출해 신경을 누르는 ‘요추간판탈출증(허리디스크)’, 척추관이 좁아져 신경을 압박해 통증이 발생하는 ‘척추관협착증’, 위 척추뼈가 아래 척추뼈보다 배 쪽으로 밀려 나가면서 허리 통증과 다리 저림이 나타나는 ‘척추전방전위증’ 등을 포함한다.퇴행성 척추변형이 지속하면 허리가 옆이나 앞으로 휘고, 등과 허리에 통증이 나타난다. 또 엉덩이부터 다리까지 저리는 방사통, 다리에 쥐가 나고 당기는 증상 등이 동반한다. 척추관협착증은 100m를 걷는 동안 두세 번 쉬어야 하는 증상이 나타날 수 있다.가톨릭대 인천성모병원 신경외과 신명훈 교수는 “나이가 들면 피부 수분이 빠져 얼굴에 주름이 생기는 것처럼, 추간판도 수분이 빠지고 탄력을 잃는다. 그렇게 되면 충격 흡수가 잘되지 않고, 체중을 받치지 못하고 무너지는 퇴행성 척추변형이 일어난다”고 했다.흔히 디스크라고 부르는 ‘추간판’은 척추뼈와 척추뼈 사이에 존재하는, 단백질과 섬유질로 만들어진 조직이다. 척추에 가해지는 충격을 흡수하는 완충작용을 한다. 추간판은 18세가 되면 노화가 시작된다.요추간판탈출증은 추간판이 여러 원인에 의해 손상을 받거나 퇴행성 변화를 겪으면서 나타나는 척추질환이다. 추간판 내부의 젤리 같은 수핵이 탈출하거나 후관절 주위 골극과 섬유륜이 두툼해지면서 주변을 지나는 척추신경을 압박하며 통증과 근력 저하 등 다양한 신경학적 이상 증상을 일으킨다. 흔히 “디스크가 터졌다”고 표현하는 질환이 요추간판탈출증이다.척추관협착증은 대부분 노화와 밀접한 관계가 있다. 머리부터 팔, 다리까지 신경이 지나는 통로인 척추관의 노화로 주변의 인대와 관절이 두꺼워지면서 신경을 압박해 통증을 유발한다. 나이가 들면 척추뼈와 척추뼈 사이에 있는 탄력 조직인 추간판에서 퇴행성 변화가 시작되는데 더 진행되면 척추관협착증으로 악화한다.척추관협착증은 눕거나 쉴 때는 증상이 없지만 일어서거나 걸으면 엉덩이와 다리 부근에 시리고 저린 느낌이 들거나 쥐어짜는 듯한 통증이 나타난다. 이때 걸음을 멈추고 앉아서 쉬거나 허리를 앞으로 숙이면 순간적으로 척추관이 넓어져 통증이 줄어들기 때문에 허리를 구부리게 된다. 척추관협착증을 ‘꼬부랑 할머니병’으로 부르는 이유다. 척추관협착증이 심해지면 통증 없이 걸을 수 있는 거리가 점점 짧아지고 심한 경우 몇 발자국만 걸어도 쉬었다 걸어야 한다.척추전방전위증은 위 척추뼈가 아래 척추뼈보다 배 쪽으로 밀려 나가면서 허리 통증과 다리 저림을 일으키는 질환이다. 심할 경우 엉덩이나 하지 마비를 일으키기도 한다. ‘척추미끄럼증’, ‘척추탈위증’이라고도 한다. 선천적으로 관절 돌기가 손상돼 있거나 외상 또는 척추의 퇴행으로 인해 상하척추 연결부가 늘어나면서 발생한다. 척추 어느 부위에서나 발생할 수 있지만 특히 하부 요추에서 흔히 발생한다.◇퇴행성 척추변형 치료, 나무보다 숲을 보는 접근 필요 퇴행성 척추변형의 치료는 모든 척추질환을 각각의 질환이 아닌, 하나의 범주에서 바라보고 접근하는 데서 출발한다. 신명훈 교수는 “얼마 전까지만 해도 척추질환은 요추간판탈출증, 척추관협착증 등으로 분류해 치료했다. 하지만 증상이 일시적으로 좋아지고 재발하는 등 예후가 좋지 않았다”며 “최근 퇴행성 척추변형의 범주에 모든 척추질환을 포함시켜 ‘몸의 기둥인 척추를 다시 세워야 한다’는 명제에 주목하고 있다”고 했다. 그동안의 척추질환 치료가 나무만 바라보는 접근이었다면 이제는 숲을 보는 접근이 필요하다는 얘기다.퇴행성 척추변형의 치료방법은 다양하다. 크게 비수술 치료와 수술 치료로 나눈다. X선이나 MRI(자기공명영상) 등 영상 검사에서 퇴행성 척추변형 질환으로 판명되면 진행 정도에 따라 치료법을 결정한다.대표적인 비수술 치료는 신경차단술과 신경성형술이다. 신경차단술은 척추 중심 신경에서 빠져나온 신경뿌리 중 통증을 일으키는 신경뿌리를 정확히 찾아 주사로 약물을 주입해 통증을 완화한다. 신경성형술은 척추의 꼬리뼈 부분을 국소마취한 후 중추신경과 신경가지에 생긴 염증 유발 물질과의 유착을 제거하고 약재를 주입하는 시술이다.이들 치료로 뚜렷한 효과가 나타나지 않거나 증상이 악화하면 수술을 한다. 신명훈 교수는 “수술은 과거에는 뼈를 깎아내는 절골술을 많이 했지만 일부 고령자는 뼈 자체의 출혈량이 많아 과다출혈로 합병증이 발생하는 단점이 있었다”며 “최근에는 최소침습수술이 많이 발전했다. 가장 많이 시행하는 수술은 허리를 구조적으로 잡아주는 척추경 나사못을 이용한 수술이다”고 설명했다. 덧붙여 “퇴행성 척추변형 수술인 최소침습수술에 현미경 수술을 접목하면 합병증을 줄이면서 더 높은 치료 효과를 볼 수 있다”고 했다.퇴행성 척추변형을 예방하려면 평소 운동을 꾸준히 해야 한다. 걷기, 뛰기, 수영 등 유산소운동은 필수다. 이때 근력 운동을 병행해 근육을 늘려주면 좋은데 ‘스쿼트’가 도움이 된다. 단 규칙적으로 꾸준히 해야 효과가 있고 잘못된 방법으로 하면 무릎에 부담이 될 수 있는 만큼 주의한다. 근육 총량을 늘리려면 하루 20회씩 5세트를 실천한다. 고령자는 유산소운동을 하는데, 산책 수준이 아니라 숨이 조금 찰 정도의 속도로 걸어야 효과를 볼 수 있다.신명훈 교수는 “척추 건강을 유지하기 위해서는 특히 등 근육을 늘리는 것이 중요하다”며 “보통 남에게 보이는 복근 같은 신체 앞부분의 근육운동보다는 등 뒤 근육인 신전근과 기립근을 키워야 한다”고 말했다."
8,"남들 보다 치아가 하나 더? 과잉치, 발견 즉시 발치해야",2020.12.09,"사람은 평생 52개 치아(유치 20개, 영구치 32개)를 가지고 살아간다. 일부 사람의 경우 이보다 많은 치아가 나기도 하는데, 이를 ‘과잉치’라고 한다. 주로 위턱 대문니(앞니 가운데 위·아래 두 개씩 있는 넓적한 이) 근처에서 원뿔 형태로 나오며, 부모나 형제 등 가족이 가지고 있을 경우 발생할 가능성이 높다. 유치보다는 영구치에서 자주 발생한다.정확한 원인은 밝혀지지 않았으나, 전문가들은 치아 발육 과정에서 치아가 만들어지는 상피조직이 과하게 활성화된 것을 원인으로 보고 있다.과잉치는 치아 배열 뿐 아니라, 영구치가 정상적으로 나오는 과정에도 영향을 줄 수 있다. 따라서 영구치를 발견했다면 즉시 발치하는 것이 좋다. 과잉치가 잇몸을 뚫고 나왔을 경우 주변 잇몸을 부분 마취해 간단히 제거할 수 있지만, 대부분 과잉치는 반대 방향으로 자라 잇몸뼈 속에 묻힌 경우가 많다. 이런 경우에는 수술을 통해 제거하는데, 수술을 두려워하는 아이들은 심리적 안정과 안전한 발치를 위해 전신마취를 시행하기도 한다.턱뼈 안에서 자라는 과잉치는 방사선 촬영 없이 발견이 어려워 치료가 늦는 경우가 많다. 때문에 치아 배열 등으로 인해 치과 치료를 받는다면 한 번씩 확인하는 것이 좋다. 특히 가족력이 있는 5~6세 아이는 특이증상이 없더라도 치과를 방문해 방사선 영상을 촬영하도록 한다. 5~6세는 영구치가 나올 준비를 하는 시기이기 때문이다. 과잉치로 인해 치아 배열이 안 좋거나, 발치가 늦어져 영구치가 나오는 데 영향을 줄 경우 추가 교정치료가 필요할 수 있다."
9,"집콕도 건강하게, 혈관 지키는 채소 반찬 5",2020.12.09,"사회적 거리두기 단계가 강화되면서 반찬 고민을 하는 사람들이 많아졌다. 가족들이 대부분 집에서 생활하고, 집에서 식사를 해결해야 하는 상황이기 때문이다. 반찬이 고민된다면 겨울철 예민해진 '혈관' 건강을 지킬 수 있는 재료를 이용해보자. 겨울철에는 혈관이 수축하기 쉬워 심혈관질환 위험이 커진다. 혈관 건강 개선 효과가 있다고 알려진 대표적인 채소 5가지를 소개한다.▶콩나물·숙주나물=한서병원이 국내 성인 1554명을 대상으로 연구한 결과, 콩나물과 숙주나물은 남성의 중성지방을 눈에 띄게 낮추는 효과를 가져왔다. 콩나물과 숙주나물 섭취량이 가장 많은 그룹은 가장 낮은 그룹보다 중성지방 수치가 약 119mg/dL 낮았다. 원인은 이들 나물에 많은 '이소플라본' 덕분이었다. 이소플라본은 여성호르몬인 에스트로겐과 비슷한 역할을 하는데, 중성지방 배출을 돕는다고 알려졌다.▶시금치=시금치는 남녀 모두, 특히 비교적 젊은 성인(19~39세)의 수축기 혈압을 낮췄다. 젊은 성인 연령대에서 시금치 섭취가 많던 그룹은 그렇지 않은 그룹보다 수축기 혈압이 약 21.40mmHg 낮다는 결과가 나왔다. 시금치 속 '질산염'이 효과를 낸 것으로 분석됐다. 질산염은 체내에서 혈관의 이완과 확장 작용에 관여하는 산화질소로 변해 혈압을 낮춘다.▶삶은 브로콜리·양배추=같은 연구에서 삶은 브로콜리와 양배추는 여성의 수축기 혈압을 최대 11.95mmHg 낮췄다. 브로콜리, 양배추와 같은 십자화 채소에는 식이섬유가 풍부하게 들어 있다. 식이섬유는 위장을 건강하게 유지해 소화작용을 도울 뿐 아니라, 혈관 건강에도 도움을 준다. 식이섬유가 노폐물을 몸 밖으로 배출하는 과정에서 혈관 속 노폐물 배출까지 돕기 때문이다.▶마늘=마늘은 특히 남성의 혈압 감소에 좋았다. 마늘 섭취량이 많은 남성은 수축기·이완기 혈압이 모두 감소한 것이다. 구체적으로 수축기 혈압이 최대 15.48mmHg, 이완기 혈압이 12.13mmHg 감소했다는 결과가 나왔다. 게다가 좋은 콜레스테롤인 HDL 콜레스테롤은 17.41mg/dL 상승했다. 마늘 속 항산화 성분인 '알리신'의 작용 때문으로 추측된다.▶무=여성에게 특히 좋은 음식은 무였다. 여성은 무를 많이 먹을수록 수축기 혈압, 총콜레스테롤, 중성지muyh7방, LDL 콜레스테롤 등 혈관 건강과 관련된 대부분의 지표가 개선됐다. 무의 뿌리와 껍질에는 비타민C와 모세혈관을 강화하는 비타민P가 다량 함유된 게 원인이었다. 특히 무 껍질에 비타민C가 더 많이 들어 있기 때문에 껍질을 벗기지 않고, 깨끗이 씻어 함께 먹을 것을 권한다."
