단백뇨란 무엇인가요?,"관련 질병
단백뇨

진료과
신장내과

","단백질이 소변으로 빠져나오는 경우를 말하며, 성인의 경우 정상적으로 하루에 150mg 미만의 단백질이 소변을 통해 배출됩니다. 흔히 건강검진에서 소변검사를 통해 우연히 발견되는 수가 많습니다. 단백뇨가 있다고 항상 병적인 것은 아니며 열이 있거나 심한 운동 후 혹은 육류를 갑자기 많이 섭취한 후에 일시적으로 나타나는 경우도 있습니다. 하지만 단백뇨가 지속될 경우에는 사구체신염과 같은 신장질환 혹은 고혈압, 당뇨병과 같은 전신 질환에 의한 신장병증의 발생을 의심해 볼 수 있습니다.

증상
흔히 ‘거품뇨’, 즉 소변을 볼 때 유난히 거품이 많이 생기게 되고 또한 쉽게 거품이 가라앉지 않는 증상이 발생합니다. 소변을 통해 빠져나가는 단백질의 양이 적을 때에는 별다른 증상을 느끼지 못합니다. 하지만 점점 더 많은 단백질이 소변을 통해 빠져나가게 되면 체내의 단백질이 정상보다 적어지게 되고 이로 인해 부종 즉, 발목 부위, 다리, 아침에 눈 주위가 붓는 증상이 발생하게 됩니다. 더 심할 경우엔 폐까지 붓는 폐부종이 발생 하게 되고, 이로 인해 똑바로 누워서 잠을 자기 어려울 정도로 숨이 차고, 조금만 걸어도 호흡곤란이 생겨 거동하기가 어려워집니다. 이런 증상이 발생할 정도로 심한 단백뇨가 있는 것을 신증후군이라고 하며 조속히 전문의에게 진료를 받고 치료를 받아야 합니다.

원인 질환
흔히 오랫동안 고혈압 혹은 당뇨병이 있어 치료를 받고 있는 환자의 경우 이로 인해 단백뇨가 발생할 수 있습니다. 또한 신장에서 혈액을 걸러내는 사구체에 질병이 생기는 경우(사구체 신염)에도 단백뇨가 발생할 수 있습니다. 이외에 요로감염이 있을 경우 일시적으로 단백뇨가 관찰될 수 있습니다.

진단
간단한 요스틱검사(dipstick)를 통해 단백뇨의 유무를 알아볼 수 있습니다. 음성, 1+, 2+, 3+, 4+ 등으로 결과를 확인할 수 있으며 스틱검사에서 단백뇨 양성 시 정밀검사가 필요합니다. 하루 소변 중에 단백질이 얼마나 배출되는지 24시간동안 소변을 모아서 단백질의 양을 측정하는 것이 가장 정확한 단백뇨의 검사입니다. 24시간 소변을 모으기 힘든 경우 간단히 소변 중 단백과 크레아티닌을 측정하여 그 비를 계산하는 단백뇨 검사도 있습니다.

치료
단백뇨가 양성일 경우 그 원인질환을 정확히 진단하여 치료하는 것이 중요합니다. 기본적으로 저염식이가 도움이 됩니다. 고혈압의 경우 철저한 혈압관리가 중요하며 당뇨병인 경우 혈당을 적극적으로 낮추는 치료가 필요합니다. 또한 사구체 질환에 의한 단백뇨인 경우 각각의 사구체 질환 (예, IgA 신병증, 미세변화 신증후군, 막성 신증후군 등)에 대한 치료를 받아야 합니다. 장기적으로는 단백뇨가 지속될 경우 신장기능이 저하될 수 있으므로 전문의 진료 및 추적 관찰이 필요합니다.

"
간헐적 단식은 다이어트에 효과가 있나요?,"관련 질병
단식

진료과
가정의학과

","간헐적 단식이 효과적이라는 좋은 연구 결과도 의외로 꽤 있습니다. 간헐적 단식은 일정하게 하루 한 끼만 섭취하는 것에서부터 하루는 정상 식이를 하고 다음 날은 하루 한 끼만 섭취하는 것, 또는 일주일에 이틀 정도만 한 끼 섭취하는 방법 등 다양하게 변형해서 연구가 진행되었습니다. 간헐적 단식도 결국에는 칼로리를 줄여 먹는 소식의 한 가지 방법으로 받아들이면 좋을 것 같습니다. 영양소를 골고루, 칼로리를 계산하면서 하루 세 끼, 일정한 시간에 식사를 챙겨 먹을 수 있는 사람이 과연 몇이나 될까요? 바쁘고 생활양식이 다양한 현대인들에게 어떤 식습관이 절대적으로 옳다고 강요할 수는 없을 것 같습니다. 가장 훌륭한 식사법이라고 하더라도 실천할 수 없으면 그림의 떡이기 때문이지요. 현대인들이 효소 요법이나 원푸드 다이어트 등 각종 다이어트 방법에 쉽게 현혹되는 이유가 적용하기 쉽기 때문이 아닐까 싶기도 합니다.하루에 일정한 시간에 세 끼를 섭취할 수 있는 주부에게 간헐적 단식이 몸에 좋다고 권할 필요도 없고, 하루에 한 끼 내지 두 끼밖에 섭취할 여건이 안 되는 사람에게 무조건 세 끼 식사를 권해 스트레스를 줄 필요도 없습니다. 이 방법, 저 방법이 문제가 아니라 가장 중요한 것은 장기간 습관으로 평생, 실천할 수 있는 방법을 선택하여 '소식'을 실천하는 것이니까요.당뇨병 환자 등 간헐적 단식을 시행하면 안 되는 사람들도 있어 스스로 진행하기보다는 의사와 상담 후 간헐적 단식을 시작하고 이후에는 주기적으로 혈액 검사, 전해질 검사 등을 통해 영양 상태의 불균형은 없는지 건강 상태는 어떤지 확인하는 것을 권합니다.
"
치밀 유방이 무엇인가요,"진료과
외과

","치밀 유방이란, 유방을 구성하고 있는 조직 중에 유즙을 만들어내는 유선조직의 양은 많고 상대적으로 지방조직의 양은 적어 유방 촬영 검사를 하였을 때 사진이 전반적으로 하얗게 나오는 것을 의미합니다. 대략적으로 치밀도를 1단계부터 4단계까지 네 단계로 나누어 볼 수 있으며, 3단계 이상의 치밀 유방일 경우 유방의 절반 이상이 하얗게 나오는 경우를 말합니다. 유방 촬영상 하얗게 나오는 것이 중요한 이유는 첫째 유방에 생기는 혹은 유선조직에서 생기는 것이기에 혹도 하얗게 보이기 때문에 유방 촬영만으로는 유방에 혹이 있는지 없는지 알 수 없기 때문입니다.두 번째로는 최근 연구 결과에서 유방의 치밀도가 높을수록 유방암의 발생 위험이 높다는 보고들이 있어 치밀도가 높은 유방일 경우 그렇지 않은 유방일 경우에 비해 유방암의 발생 위험이 상대적으로 높을 수 있다는 것입니다. 이런 경우에는 유방 초음파나 유방 MRI 등 추가 검사를 통해 유방 촬영에서 보이지 않는 종양이 있는지 확인이 필요합니다.
"
뇌혈관 질환,"진료과
신경외과

","뇌졸중은 뇌혈관이 막히거나 터져서 발생하는 뇌혈관 질환을 총칭하는 것으로 우리나라 사람에 있어서 암 다음으로 흔한 사망원인이며, 단일 장기질환으로는 가장 높은 사망률을 보인다
뇌혈관 질환의 특징은 그 증상이 갑자기 나타난다 것!갑자기 말이 둔해지고 팔다리에 마비가 오거나 격심한 두통, 구토, 의식장애 등이 발생하면 뇌졸중일 가능성이 매우 높다. 이러한 증상이 나타나면 즉시 병원에 와서 뇌 CT나 MRI 검사를 해야 한다. 특히 뇌혈관이 막혀 발생하는 뇌경색은 발병 후 3~4시간 내에 혈전을 녹이는 약물을 투여하면 막힌 혈관이 뚫려 치유될 수도 있으나 이 시기를 놓치면 약물 투여가 효과가 없거나 오히려 위험할 수 있으므로 민간 요법 등으로 시간을 지체하지 않는 것이 매우 중요하다. 뇌출혈인 경우 출혈양이 많거나 뇌간에 출혈을 한 경우는 치명적이지만 일부 뇌출혈은 혈종을 제거함으로서 생명을 구할 수 있다.앞에 언급한 증상이 갑자기 발생했다가 하루가 지나면서 다시 정상으로 돌아오는 경우가 있는데 이것은 일과성 허혈이라고 하며, 앞으로 다가올 뇌졸중이나 심근경색 등을 예고하기 때문에 이러한 증상이 저절로 좋아지더라도 안심하지 말고 반드시 정밀검사를 받아 보아야 한다.뇌동맥의 일부가 풍선처럼 부풀다가 터져 지주막하출혈이라고 하는 뇌출혈을 일으키는 뇌동맥류는 일단 출혈하면 약 50%에 이르는 환자가 사망하기 때문에 40세가 넘으면 5년에 한 번은 뇌혈관 촬영(MRA)을 해보는 것이 좋다. 뇌동맥류로 진단되면 수술적 치료나 GDC 색전 등의 시술로 완치될 수 있다. 대부분의 뇌졸중은 중년 이상에 발생하기 때문에 성인병이라고 할 수 있다. 그러나 증상이 나타나는 것이 늦어졌을 뿐 뇌혈관 질환은 20대부터 꾸준히 진행되기 때문에 이를 예방하기 위해서 젊을때부터 좋은 생활습관과 식습관 그리고 꾸준한 운동을 할 것을 권장한다.뇌혈관 질환의 가장 큰 원인은 고혈압과 당뇨이며 고지혈증, 흡연, 비만, 스트레스 등과 같은 원인질환과 습관들이 대표적 원인으로 알려져 있다. 운동과 식이요법으로도 혈압이나 당뇨, 고지혈증 등이 잘 조절되지 않으면 약물치료를 해야 한다. 많은 환자들이 이러한 약물을 평생 먹는데 대한 강한 거부감을 가지고 있어 갈 데까지 가보다가 약물치료를 하겠다고 하는데 이는 매우 어리석은 일로 약물치료를 늦추는 만큼 그 순간에도 혈관질환은 비가역적으로 진행되기 때문이다. 원인질환 혹은 습관은 본인의 의지와 약물로 충분히 고칠 수 있기 때문에 인생이 한순간 송두리째 바뀌는 불행한 일을 당하지 않도록 미리 예방하는 것이 가장 상책이다.
"
비문증 원인과 치료,"관련 질병
비문증

진료과
안과

","1. 눈 앞에 실이 떠다녀요. 괜찮은 것인가요?
눈 앞에 먼지, 움직이는 점, 실오라기, 거미줄 등의 여러 모습으로 보이는 물체가 떠다니는 증상을 보이는 분이 많습니다. 이런 물체들은 눈을 움직일 때마다 같이 따라서 움직이게 되며, 보였다가 안 보였다가를 반복하기도 하며, 특히 하늘이나 흰 벽을 볼 때 잘 느껴지게 됩니다. 특별한 이유 없이 갑자기 나타나는 경우가 대부분이며, 이런 증상은 비문증(날파리증)이라고 합니다.

2. 비문증은 왜 생기는 거죠?
비문증은 유리체라는 눈 속을 채우고 있는 투명한 물질이 나이가 들수록 변성되어 작은 부유물이 뜨거나 혼탁이 생겨 눈으로 들어가는 빛을 가리게 되어 생기게 됩니다. 이런 변성은 대부분 저절로 생기게 되며 시야를 가려 불편한 것을 제외하면 눈의 건강에 큰 위험이 되는 일은 적습니다.

3. 그러면 그냥 무시해도 될까요?
대부분의 경우, 비문증은 나이든 분이나, 고도 근시가 있는 분들에게서 생리적인 유리체의 변화로 오게 됩니다. 하지만 이런 증상이 망막 박리나 망막 열공 등 위험한 질환들의 초기 증상으로 올 수 있기 때문에 이런 질환이 동반되지 않았는지 확인 하기 위하여 안과 진료가 필요합니다. 특히 외상이나 당뇨병, 고도근시, 검은 점들이 갑자기 많이 떠다니거나 시력과 시야의 감소가 동반되는 경우에는 지체 없이 안과 진료를 받으셔야 합니다.

4. 눈에는 큰 문제가 없다고 하는데 계속 신경이 쓰이고 불편합니다. 치료하는 방법이 없을까요?
질병과 관련된 비문증의 경우 그 질병을 치료하면 없어지는 경우가 있지만, 일반적인 비문증의 경우 약이나 수술로 치료하기가 어렵습니다. 지켜보면 저절로 보이지 않게 되거나 보이는 빈도가 줄어드는 경우가 있으며, 눈 안의 변성된 물질이 사라진 것은 아니고 물질이 떠다니다 눈 구석으로 움직여 눈 안에 들어오는 빛을 가리지 않게 되거나, 뇌에서 무시하려는 경향을 보이는 것입니다.

"
임플란트 치료기간 및 순서가 어떻게 되나요?,"관련 질병
치아 임플란트

진료과
치과

","치료기간
치료 기간은 환자의 잇몸 뼈의 상태, 건강 상태에 따라 차이가 많이 있으나 대략 다음과 같습니다.- 상악(위턱)의 경우: 약 5~6개월 (아래턱보다 뼈가 무르기 때문에 더 오래 걸림)- 하악(아래턱)의 경우: 약 3~4개월- 총 내원 횟수 : 약 10회- 뼈이식을 동반하는 경우 : 약 2~6개월 더 걸림.

치료순서
(1) 검진 및 치료계획 : 먼저 전신적인 상태의 평가와 panoramic x-ray를 통한 치아 및 치조골에 대한 평가를 실시합니다. 경우에 따라서는 CT 촬영이 필요하기도 합니다. 철저하고 정확한 검진을 통해 환자에게 맞는 치료계획을 세웁니다.(2) 뽑아야 할 치아를 발치한 후 잇몸이 아물기를 기다립니다.(3) 필요에 따라 골이식을 먼저 시행합니다.(4) 1차 수술 : 치아 뿌리에 해당하는 임플란트 매식체를 식립합니다.(5) 필요에 따라 골이식이나 잇몸이식을 시행합니다.(6) 2차 수술 : 치조골 속의 임플란트 매식체에 임시고정나사를 연결하여 잇몸 밖으로 노출시키는 과정입니다. 대부분 1차 수술보다 간단하고 시간도 적게 걸립니다. 2차 수술 후 입 안으로 원형의 금속성 임시고정나사를 관찰할 수 있으며 수술 후 2~3일째부터는 여기를 잘 닦아줘야 잇몸이 잘 아물게 됩니다.(7) 3차 수술 : 임플란트 보철물을 장착합니다.(8) 주기적인 검진 : 임플란트는 장착 후 구강 관리가 임플란트의 수명에 중요한 영향을 미칩니다. 철저한 위생 관리가 중요하며 정기적인 검진을 받아야 합니다.

"
유방 통증,"관련 질병
유방통

진료과
외과

","유방 통증은 여성들이 일반 병원이나 유방 전문 클리닉을 찾게 되는 가장 흔한 유방 증상 중의 하나입니다. 유방통은 크게 주기성 유방통과 비주기성 유방통으로 구분할 수 있습니다. 주기성 유방통은 통증과 생리 주기간에 분명한 시간적 관계가 있는 것이 특징으로 생리 직전에 통증이 최고조에 달하며 생리 시작과 동시에 경감되지만 어느 정도의 통증은 계속해서 전 생리 동안 지속 될 수 있습니다. 호발 연령은 30대 중반이지만 호르몬 대체요법을 받고 있는 폐경기 여성에서도 발생할 수 있습니다. 비주기성 유방통은 주기성 유방통과는 달리 통증이 생리주기와 관련 없이 나타나며 40대 중반 여성에 호발하는 것으로 알려져 있습니다. 이 경우 통증은 유방 자체에 질환이 있거나, 유방 가까이 있는 주위 장기(폐, 심장, 식도, 갈비뼈관절 ,경추, 피부 등)에 이상이 있을 때 발생할 수 있습니다. 통증의 특징은 유방의 특정 부위에 국한되어 나타나며 대개 “ 따갑다, 찌릿 찌릿 쑤신다”고 호소하며 짧으면 몇 분 길게는 몇 일간 지속되기도 합니다. 보통 유방암 환자는 통증이 수반되지 않는 것으로 알려져 있으나 유방암 환자의 5~7%에서는 통증이 유방암 환자의 유일한 증상이 될 수도 있으므로 유방통이 있는 환자는 유방암과의 관련성을 배제하기 위해 반드시 유방 전문가의 진단을 받아 보아야 합니다. 유방통이 있는 여성에서 자세한 병력, 면밀한 이학적 검사 및 유방 촬영술 등은 유방 종괴나 유방 이외의 부위에서 발생할 수 있는 통증의 가능성을 배제하기 위해 꼭 시행되어야 하며, 필요하면 초음파 검사와 조직 검사가 추가될 수 있습니다. 확실한 유방 종괴가 없는 유방통 환자의 85~90%는 저절로 좋아지는 경우가 많으며 의사의 친절하고 자상한 설명만으로도 증상이 조절되기도 합니다. 주기성 유방통은 커피, 콜라, 초코렛, 등 카페인이 함유된 음식과 고지방식 섭취를 줄이고 금연하는 것이 통증 완화에 도움이 되며, 호르몬 환경을 변화시키는 호르몬 치료제 등이 사용 될 수 있습니다. 비주기성 유방통은 원인에 따라 치료 방법이 선택되어야 합니다.
"
폐렴 예방접종을 맞으면 폐렴에 평생 안 걸리나요?,"관련 질병
폐렴

진료과
호흡기알레르기내과

","우리 몸의 폐는 호흡을 통해 들어온 공기 중의 산소를 혈액에 전달하고, 혈액으로부터는 이산화탄소를 배출하는 작용을 합니다. 이러한 폐의 기능을 가스교환이라고 합니다. 폐의 가스교환이 효과적으로 이루어지려면 폐의 구성단위인 폐포가 항상 깨끗한 상태(무균 상태)가 유지되어야 합니다. 외부로부터 균이 들어와서 폐포에서 자라게되는 경우를 폐렴이라고 합니다. 폐렴이 발생하면 폐렴이 있는 부위의 폐포에서는 가스교환이 불가능하여 저산소증이 발생할 수 있으며, 폐의 염증이 전신에 퍼지게 되면 패혈증이라는 무서운 합병증이 생길 수도 있습니다. 폐렴을 일으킬 수 있는 미생물은 세균, 바이러스, 곰팡이, 리켓치아, 기생충, 결핵균 등등으로 매우 다양하지만 세균이 가장 흔한 원인균이며, 세균 중에서도 폐렴구균이 세균성폐렴에서 가장 빈도가 높은 원인균입니다. 다행히 폐렴구균에 대한 예방주사가 개발되어 있습니다. 폐렴구균 예방접종은 제작방식에 따라 다당백신과 단백결합백신으로 분류됩니다. 단백결합백신이 항체를 더 많이 형성하고, 항체역가가 오래 지속되는 장점이 있지만, 가격이 비싼 점이 단점입니다. 2세 이하 소아는 단백결합백신을 맞아야 하며, 성인은 다당백신을 맞아도 되고, 단백결합백신을 맞아도 됩니다. 폐렴구균에 대한 예방접종은 2세 이하나 65세 이상은 모두 맞는 것이 권고되며, 50세 이상의 사람 중에 면역억제상태가 있거나 만성 심부전, 만성 신질환, 만성 호흡기질환, 당뇨 등의 만성 질환이 있는 경우에도 접종이 권고됩니다. 폐렴구균 예방접종으로 항체가 형성되더라도 예방접종을 한 후에 시간이 오래 경과하면 항체역가가 줄어들어 예방 효과가 떨어집니다. 따라서 다당백신으로 65세 이전에 예방접종을 한 경우에는 5년 뒤에 재접종을 하는 것이 좋습니다. 항체역가가 떨어지면, 폐렴구균에 의한 폐렴이 발생할 수 있습니다. 그리고 폐렴구균 예방접종은 폐렴구균에 대한 항체만을 형성하기 때문에 다른 원인의 폐렴 원인균들에 대한 예방 효과는 없습니다. 따라서 폐렴구균 예방접종 후에도 다른 종류의 미생물에 의해 폐렴이 발생할 수 있습니다.
"
수면 마취는 전신 마취와 다른 건가요?,"관련 질병
수면마취

진료과
마취통증의학과

","수면 마취, 곧 정확하게 말하자면 '중등도 진정 또는 의식하 진정'이란 진단이나 치료를 목적으로 하는 여러 가지 시술을 받을 때 적절한 약물을 투여하여 안전하고 인도적이면서 효과적으로 환자분들의 통증이나 불안감을 적절히 없애주는 기법을 말합니다. 통상적으로 내시경적 시술에 많이 사용되나 이외에도 기관지경 시술, 흉관 삽입술, 중심정맥관 삽입술, 복수 천자, 흉강 천자, 골수 천자 및 생검 같은 여러 가지 침습적인 시술에 사용될 수 있으며, 자기공명영상 촬영술이나 컴퓨터단층 촬영술 같은 비침습적인 시술을 할 때도 유용할 수 있습니다.수면 마취는 진정의 정도에 따라서 전신 마취와 구분되는데, 전신 마취의 경우 아무리 자극을 주어도 깨지 않고 호흡도 없어지는 단계인데 반하여 수면 마취의 경우 말을 걸거나 살짝 건드리면 깨는 정도의 진정 단계로 중등도 진정 또는 의식하 진정 단계라고 할 수 있습니다. 중등도 진정 또는 의식하 진정을 시행할 때도 전신 마취와 마찬가지로 여러 가지 기본적인 검사나 금식 등이 꼭 필요합니다.중등도 진정 또는 의식하 진정을 시행할 때는 환자분의 연령, 건강 상태, 약물 복용력, 불안감 및 통증 정도에 따라 또는 시술의 침습 정도, 시술 시간, 그에 따른 환자분의 불편 정도에 따라 약물의 종류나 용량 및 목표 진정 정도가 달라질 수 있으므로 마취통증의학과 전문의의 도움이 필요할 수 있습니다.
"
"크레아티닌이 높다고 들었는데, 크레아티닌이 뭔가요?","진료과
신장내과

","크레아티닌은 근육의 크레아틴에서 생산되어 신장을 통해 배출됩니다. 신장으로 배출되는 다양한 물질들은 다시 재흡수라는 과정을 거치게 되는데, 크레아티닌은 이 재흡수가 거의 일어나지 않아 콩팥기능의 지표로 이용됩니다. 검사실에 따라 크레아티닌을 측정하는 방법이 조금씩 다르기 때문에 검사실마다 정상치가 다르고 또한 성별, 연령에 따라서도 다릅니다.일반적으로 혈액으로 측정한 크레아티닌이 검사실에서 제시한 정상치보다 높으면 콩팥기능이 떨어져 있을 가능성이 높으므로 재검사 및 정밀검사가 필요합니다. 또한 운동을 많이 해서 근육질인 사람 혹은 근육을 만들기 위해 크레아티닌을 직접 복용하는 경우에도 혈액 크레아티닌이 정상보다 올라갈 수 있으므로 전문의와 상담이 필요합니다.이 외에도 급성으로 콩팥기능이 올라가는 경우도 있습니다. 심한 설사나 구토 후에 혈액량이 감소하거나 콩팥기능에 해로운 음식이나 약물 혹은 독성물질을 먹은 경우 양측 콩팥에 염증이 생긴 경우에도 크레아티닌 수치가 올라갈 수 있습니다. 이런 경우에는 원인을 교정하고 상태를 확인해야 하므로 역시 전문의와 상담이 필요합니다.
"
