월경하기 전에 아프고 힘들어요.(월경전 증후군),"관련 질병
정상청소년의 성장과 발달

","월경하기 7~10일 전부터 정서불안, 우울, 피로, 유방의 팽만감, 부종, 여드름, 식욕증가 등의 증상이 나타나는 것으로 월경전 증후군이라 합니다. 이 시기에 평소와 다른 행동이나 성격을 보이기도 합니다. 증상은 월경이 시작되고 수일 안에 호전되며 월경이 시작되고 1주 이내에는 증상이 경미하거나 없어집니다.
	
	난자를 생산하는 규칙적인 월경을 하는 여자에게 흔히 발생합니다. 비타민 B6, 칼슘, 진통제 등이 도움이 됩니다.
"
대상포진은 전염성이 있는지?,"관련 질병
대상포진

","수두 대상포진 바이러스는 대상포진 환자의 물집이 터진 후 진물에 의한 접촉으로 전염이 가능하고, 드물게 공기감염의 경로로도 전염될 수 있습니다. 수두를 앓지 않은 사람이 수두 대상포진 바이러스에 감염되면 수두의 형태로 발생하게 됩니다.
	
	수두를 앓은 이후에는 바이러스가 신경절에 잠복하고 있다가 면역이 약화되면 재활성화되어 대상포진을 유발하게 됩니다. 따라서 수두를 앓은 적이 없는 사람이 대상포진을 앓고 있는 사람과 접촉했다면 발병을 차단하기 위하여 수두 예방접종을 받는 것을 고려해 볼 수 있습니다.
"
항생제 투여 후 부작용이 생기면 어떻게 하나요?,"관련 질병
항생제

","대부분의 경우 항생제 투약을 중단하면 2~3일 이내에 부작용은 회복됩니다. 그러나 부작용이 나타나면 바로 주치의와 상의하여 부작용에 대한 처치와 함께 약제 변경 여부 등을 결정해야 합니다. 임의로 투약을 중지하면 원래 치료하고자 했던 감염질환이 악화될 수도 있고, 투약을 지속하다가 부작용이 더욱 악화될 수도 있으므로 가능한 주치의와 상의해서 결정하는 것이 가장 바람직합니다.
"
대장 용종이 모두 대장암으로 발전하나요?,"관련 질병
대장 용종

","대장용종이 모두 다 대장암으로 발전하는 것은 아닙니다.그러나 대장 선종의 경우 시간이 지나면 그 크기가 커지며 점막이 대장암으로 변하면 상피내암(상피 조직에만 국한된 암.)으로 발전하고, 그것이 기저막(결합조직과 상피, 근육, 신경 조직이 맞닿는 곳에 있는 막으로 경계막이라 한다. 표피와 진피의 경계로 영양 공급 역할을 하며, 음전기 성질을 가지고 있어 양전기 물질이 투과되기 쉽다.)을 넘으면 진행성 대장암이 되고, 그 후 다른 장기로의 전이가 일어난다고 이미 밝혀져 있습니다. 즉, 대장 선종은 대장암의 전단계로, 반드시 제거가 필요합니다.만약 대장내시경 상에서 대장 용종이 발견된다면 육안으로는 용종이 선종인지 확실하게 알 수 없기 때문에 용종을 절제하여 조직검사를 해 보아야 합니다.
"
점 제거나 색소 질환 치료를 위한 레이저 치료 후 주의 사항은 어떤 것이 있나요?,"관련 질병
모반

","- 치료한 다음 날이면 치료한 부위가 더 검어지거나 짙은 갈색의 딱지가 생기게 됩니다.- 치료 후 3일 정도는 세안이나 화장을 피하는 것이 좋고 물수건으로 치료부위 이외의 얼굴만 가볍게 닦는 것이 좋습니다.- 딱지가 생긴 경우는 딱지가 떨어질 때까지는 약 일주일에서 10일 정도의 시간이 걸립니다. 딱지를 잘 유지해주는 것이 중요한데 딱지를 억지로 떼면 상처가 덧나거나 흉터가 남을 수 있습니다. 딱지가 떨어진 후 치료 부위에 붉은 기가 남습니다. 1개월 이상 붉은 기는 남을 수 있고 시간이 지나면 자연적으로 호전됩니다.- 딱지가 떨어지고 나면 햇볕 노출을 조심해야 합니다. 따라서 외출 시에는 모자, 양산, 자외선 차단제 등을 꼭 사용해야 합니다.
"
수면제를 계속 복용하면 어떤 점이 좋지 않나요?,"관련 질병
수면장애

","불면증 환자 모두가 가지고 있는 소망은 약을 복용하지 않고도 잘 자는 것입니다. 많은 환자들이 수면제를 계속 복용하면 중독이되고 치매에 걸리지 않을까 두려워합니다.수면제에 정통한 두 학자가 수면제 사용에 대한 찬반 논쟁을 벌인 것이 논문으로 나온 적이 있습니다.우선 수면제 사용에 반대하는 학자는, 불면증은 수면제로 치료하는 것이 아니며, 수면제로 인해 인지기능(認知機能)이 낮아질 수 있고, 노인들이 수면제를 복용하면 근육이완으로 낙상(落傷)할 위험이 높다고 주장합니다.한편 수면제 사용에 찬성하는 학자는, 대부분의 환자들에게 수면제 의존이 생겨 용량을 늘려야 효과가 지속되는 일이 거의 없고, 최근에 나온 수면제는 잔류(殘溜)효과와 기억력에 대한 영향 그리고 근육을 이완시키는 효과도 거의 없어서 장기간 안전하게 사용할 수 있다고 주장합니다.정신과 약물, 특히 수면제에 대한 우리나라 사람들의 인식은 1950년대부터 사용되기 시작한 벤조디아제핀계 수면제에 대한 것입니다. 그 당시 약물은 투약하면 몸에 머무는 시간이 길어 다음날 낮까지 몸에 남아 있어 머리가 맑지 않았고, 신체적 또는 심리적 금단 증상이 있어 쉽게 중단하기 힘든 경우가 있었던 것도 사실입니다.하지만 요즘 나오는 수면제에는 단기간 작용하면서 인지 기능에 영향을 거의 주지 않습니다. 또, 환자가 가진 수면장애에 특성에 따라, 잠드는 것이 힘든 사람에게 효과가 있는 약이 있고, 잠은 잘 들지만 자다가 중간 중간에 깨는 것이 힘든 사람에게 효과가 있는 약도 있습니다. 최근에는 전통적인 수면제와는 달리 멜라토닌 수용체에 작용하는 약물이 개발되었습니다. 곧 국내에 도입될 예정인 이 약물은 다른 수면제와는 달리 향정신성의약품으로 분류되지 않을 정도로 부작용이 적습니다.수면제를 장기간 사용하면서 ‘약을 먹여 잠을 재우기만 하는’치료는 바람직하지 않습니다. 그러나 일시적인 스트레스로 인한 단기 불면, 시차 여행으로 인한 불면, 수면-각성 리듬이 떨어진 노인들에게 간헐적으로, 단기간 작용하면서 잔류효과를 남기지 않는 비-벤조디아제핀계 수면제를 적절히 사용하는 것은 필요할 때가 있습니다.수면전문의가 환자의 수면문제를 정확히 진단한 상태에서, 불면증의 인지행동치료를 포함하는 종합적인 치료의 일부로 수면제를 사용하는 것이 가장 바람직할 것입니다.
"
철분제를 먹으면서 속이 쓰리고 소화가 잘 안 됩니다. 어떻게 하면 좋을까요?,"관련 질병
영양제

","철분제는 충분한 물과 함께 빈속에 복용하는 것이 가장 흡수가 잘 되어 좋습니다. 하지만 그 때문에 속쓰림이나 소화 장애가 있는 경우에는 식사와 함께 복용하셔도 됩니다.
"
혀에 백태가 자꾸 끼어요.,"관련 질병
구강건조증

","구강건조증이 있으면 혀의 각질이 쉽게 탈락되지 못해 백태가 자주 끼게 됩니다. 구취 등의 원인이 될 수 있으므로 자주 칫솔질을 해서 제거해주는 것이 좋습니다. 백태가 착색되어 검고 두껍게 끼는 경우가 있는데, 이를 흑모설(black hairy tongue) 이라고 합니다. 흑색 색소를 침착시키는 곰팡이의 작용으로 인해 혀의 윗면이 흑색을 띄며 모상유두가 3mm 이상으로 길어지게 됩니다.원인으로는 항생제 및 구강살균제의 과다한 사용, 구강 캔디다증 등이 있습니다. 임상적으로 길어진 모상유두가 입천장에 닿아 이물감을 느끼는 경우가 있고 그 외 특별한 자각 증상은 없습니다. 치료로는 칫솔이나, 살리실릭 산이 함유된 10~15% 알코올 용액으로 혀를 닦아주거나 항진균제 용액, 항히스타민 용액을 사용하는 것도 효과적입니다.
"
"이갈이는 왜 생기며, 치료방법은 어떤 것이 있나요?","관련 질병
수면장애

","잠을 자는 중에 이를 갈거나(grinding) 악물고(clenching), 이때 생기는 자극과 통증으로 수면이 방해받는 것을 통틀어 정확하게는 이갈음(bruxism)이라고 합니다. 이갈음이 있으며 그 소음으로 인해 주변사람들의 수면을 방해할 수 있습니다. 또, 이갈음으로 인해 치아가 빨리 닳게 되고 치통, 턱 주위 통증과 두통이 나타날 수 있습니다.이갈음 중에는 아래위 치아들이 수평방향으로 움직이면서 마찰을 일으키는데, 치아는 구조상 수직방향의 힘에는 강하지만 수평방향의 힘에는 매우 약하므로 심하게 손상됩니다.이갈음은 지능지체나 뇌성마비 환자에게 나타나는 경우도 있지만, 대개의 경우 특별한 신체적 문제가 없는 아동이나 성인에서 나타날 수 있습니다. 이갈음은 심리적인 요인으로 인한 불안과 스트레스와 밀접한 관련이 있습니다. 이갈음은 아동의 14~17%가 증상을 나타낼 정도로 흔하며 나이가 들면서 줄어들어 청소년은 12%, 성인이 되면 8% 정도로 줄어들고, 노인은 3% 정도의 유병률을 보입니다.성취동기가 강하고 주의력이 높은(늘 긴장하고 있는) 사람들에게 흔히 일어나며, 치아의 교합이 잘 맞지 않는 것도 원인이 될 수 있다고 합니다. 생활스트레스, 과도한 업무, 마감일에 쫓기는 상황 등이 이갈음 유발과 관련되며, 흡연과 카페인 섭취도 수면 중 각성을 일으키고 이갈음을 유발합니다.이갈음은 수면다원검사를 통해 진단하고, 그 심한 정도를 평가합니다. 이갈음은 1, 2단계 비-렘수면 중에 잘 나타나며, 렘수면 중에 나타나는 경우는 매우 드뭅니다.수면다원검사를 통해 호흡관련수면장애, 렘수면행동장애, 야경증, 간질 등 이갈음을 동반할 수 있는 다른 수면장애를 배제한 후 확진합니다.이갈음이 있는 경우, 최근 심해진 스트레스 요인을 찾아서 제거하거나 줄이는 노력이 필요합니다. 바이오피드백을 통해 스트레스 반응을 줄일 수 있습니다. 또한 흡연과 카페인 섭취를 줄여야 합니다. 이갈음이 지속되면 치아손상을 막기 위해, 치과에서 치아보호기구(mouth guard)를 제작해서 착용하고 자기도 합니다.
"
혈중 요산 수치가 낮아도 통풍일 수 있다?,"관련 질병
통풍

","통풍이 고요산혈증이 있는 환자에게서 발생하는 것은 분명합니다. 그러나, 급성 통풍이 발생하였을 때 혈중 요산수치가 정상일 수 있어서 유의해야 합니다. 급성 통풍의 유발 인자에는 혈청 요산 농도를 증가시키는 이뇨제, 시클로스포린 등의 약물, 음주, 세포독성 항암치료, 과식뿐만이 아니라 혈중 요산 농도를 일시적으로 감소시킬 수 있는 수술, 금식 및 심한 다이어트, 요산강하제의 사용 등도 포함된다.
"
검은 대변은 모두 소화관 출혈에 의한 흑변인가요?,"관련 질병
혈변 및 흑변(성인)

","검은 빛의 대변을 보이는 경우는 소화관 출혈에 의한 흑변 이외에도 여러 가지 경우가 있습니다. 빈혈약인 철분 제제를 복용하는 경우 대변이 검은 색으로 나올 수 있으며, 소화성 궤양 약제로 사용되는 비스무스(bismuth) 제제를 복용하는 경우에도 검은 대변을 볼 수 있습니다.그러나 약물에 의한 검은 변은 소화관 출혈에 의한 흑변의 자장면처럼 검고 약간 반질거리는 듯하면서 고약한 냄새가 나는 양상과는 다소 다른 특징을 보입니다. 즉, 철분 제제에 의한 검은 변은 반질거리는 듯한 느낌이 없고 어두운 녹색 느낌이 있습니다. 비스무스 제제에 의한 검은 변은 고약한 냄새를 동반하지 않습니다. 한편, 동물의 피를 날 것으로 또는 요리하여 섭취한 경우에도 흑변 양상을 보일 수 있으므로 주의를 해야 합니다. 그러므로, 검은 대변을 본 경우에는 흑변의 가능성 이외에도 이와 같이 다른 가능성은 없는지 반드시 확인하는 것이 좋습니다.
"
임신 중 감기 증세가 있을 때는 어떻게 해야 하나요?,"관련 질병
정상 임신 관리

","산모들이 감기와 같은 간단한 질환일지라도 임신 중 발생하였을 경우 가장 걱정하는 것은 임신 전과 동일하게 약물 복용을 할 수 없다는 것과 질병 상태가 아기에게 유해한 상황을 유발할 수 있다는 것입니다. 일반적인 감기라면 충분한 휴식과 수분을 섭취한 뒤 자연적으로 치료될 때까지 기다릴 수 있지만, 증세가 심하여 약물 치료가 불가피한 경우에는 반드시 산부인과 전문의를 찾아 비교적 안전하다고 알려진 약물을 선택하여 처방을 받아야 합니다. 하루 이틀 정도의 안정으로 증세가 회복되지 않으면 치료 여부에 대한 상담을 반드시 받아야 합니다.
"
당뇨에 어떤 운동을 할까요?,"관련 질병
당뇨환자의 운동요법

","걷기, 뛰기, 등산, 줄넘기, 수영, 자전거 타기, 에어로빅 등의 유산소성 운동, 즉 산소를 끊임없이 사용하는 운동이 좋습니다. 특별히 좋아하는 운동이 없으면 걷기, 속보 등을 다음 요령으로 실시합니다.- 걷기 : 총 45분 이상 거의 매일, 나눠도 됨- 속보 : 총 30분 이상 거의 매일, 나눠도 됨근력 운동도 도움이 됩니다. 아령, 고무밴드, 역기 등을 할 수 있습니다.
"
